time,longitude,latitude,curr_x,curr_y,lon1,lat1
2023-01-08,-126.17569,50.46049,-0.10884,-0.01,-126.17569,50.46049
2023-01-08,-126.1676,50.456,-0.08027,0.042,-126.1676,50.456
2023-01-08,-126.1676,50.46049,-0.13703,0.065,-126.1676,50.46049
2023-01-08,-126.1595,50.456,-0.09364,0.054,-126.1595,50.456
2023-01-08,-126.1595,50.46049,-0.1786,0.079,-126.1595,50.46049
2023-01-08,-126.1595,50.465,-0.26869,0.023,-126.1595,50.465
2023-01-08,-126.1514,50.456,-0.08009,0.041,-126.1514,50.456
2023-01-08,-126.1514,50.46049,-0.10487,0.03,-126.1514,50.46049
2023-01-08,-126.1514,50.465,-0.2176,0.013,-126.1514,50.465
2023-01-08,-126.1514,50.4695,-0.29994,-0.023,-126.1514,50.4695
2023-01-08,-126.14331,50.456,-0.03114,0.043,-126.14331,50.456
2023-01-08,-126.14331,50.46049,-0.01399,0.057,-126.14331,50.46049
2023-01-08,-126.14331,50.465,-0.07423,0.073,-126.14331,50.465
2023-01-08,-126.14331,50.4695,-0.35163,-0.019,-126.14331,50.4695
2023-01-08,-126.13519,50.46049,-0.0268,0.044,-126.13519,50.46049
2023-01-08,-126.13519,50.465,-0.07234,0.074,-126.13519,50.465
2023-01-08,-126.13519,50.4695,-0.24275,0.032,-126.13519,50.4695
2023-01-08,-126.13519,50.474,-0.34602,-0.015,-126.13519,50.474
2023-01-08,-126.12711,50.456,-0.1211,0.03,-126.12711,50.456
2023-01-08,-126.12711,50.46049,-0.11848,0.054,-126.12711,50.46049
2023-01-08,-126.12711,50.465,-0.07429,0.06,-126.12711,50.465
2023-01-08,-126.12711,50.4695,-0.22901,0.01,-126.12711,50.4695
2023-01-08,-126.12711,50.474,-0.30751,-0.022,-126.12711,50.474
2023-01-08,-126.119,50.456,-0.16926,0.082,-126.119,50.456
2023-01-08,-126.119,50.46049,-0.17585,0.089,-126.119,50.46049
2023-01-08,-126.119,50.465,-0.09767,0.052,-126.119,50.465
2023-01-08,-126.119,50.4695,-0.19941,-0.02,-126.119,50.4695
2023-01-08,-126.119,50.474,-0.27961,-0.085,-126.119,50.474
2023-01-08,-126.119,50.4785,-0.27967,-0.156,-126.119,50.4785
2023-01-08,-126.1109,50.4515,-0.11341,0.034,-126.1109,50.4515
2023-01-08,-126.1109,50.456,-0.15596,0.153,-126.1109,50.456
2023-01-08,-126.1109,50.46049,-0.16426,0.111,-126.1109,50.46049
2023-01-08,-126.1109,50.465,-0.09559,0.059,-126.1109,50.465
2023-01-08,-126.1109,50.4695,-0.17823,-0.023,-126.1109,50.4695
2023-01-08,-126.1109,50.474,-0.21321,-0.087,-126.1109,50.474
2023-01-08,-126.1109,50.4785,-0.26326,-0.167,-126.1109,50.4785
2023-01-08,-126.1109,50.483,-0.28993,-0.17,-126.1109,50.483
2023-01-08,-126.1028,50.44699,-0.05372,0.057,-126.1028,50.44699
2023-01-08,-126.1028,50.4515,-0.12623,0.085,-126.1028,50.4515
2023-01-08,-126.1028,50.456,-0.16731,0.106,-126.1028,50.456
2023-01-08,-126.1028,50.46049,-0.10627,0.086,-126.1028,50.46049
2023-01-08,-126.1028,50.465,-0.08338,0.07,-126.1028,50.465
2023-01-08,-126.1028,50.4695,-0.13514,0.024,-126.1028,50.4695
2023-01-08,-126.1028,50.474,-0.21485,-0.015,-126.1028,50.474
2023-01-08,-126.1028,50.4785,-0.33802,0.036,-126.1028,50.4785
2023-01-08,-126.1028,50.483,-0.35169,0.014,-126.1028,50.483
2023-01-08,-126.0947,50.44699,-0.03108,0.047,-126.0947,50.44699
2023-01-08,-126.0947,50.4515,-0.04988,0.128,-126.0947,50.4515
2023-01-08,-126.0947,50.456,-0.11903,0.079,-126.0947,50.456
2023-01-08,-126.0947,50.46049,-0.08992,0.06,-126.0947,50.46049
2023-01-08,-126.0947,50.465,-0.07667,0.057,-126.0947,50.465
2023-01-08,-126.0947,50.4695,-0.12879,0.062,-126.0947,50.4695
2023-01-08,-126.0947,50.474,-0.23561,0.089,-126.0947,50.474
2023-01-08,-126.0947,50.4785,-0.37403,0.082,-126.0947,50.4785
2023-01-08,-126.0947,50.483,-0.33967,-0.04,-126.0947,50.483
2023-01-08,-126.0947,50.4875,-0.06929,-0.109,-126.0947,50.4875
2023-01-08,-126.08661,50.4425,0.01702,0.028,-126.08661,50.4425
2023-01-08,-126.08661,50.44699,-0.02082,0.031,-126.08661,50.44699
2023-01-08,-126.08661,50.4515,-0.06831,0.034,-126.08661,50.4515
2023-01-08,-126.08661,50.456,-0.06721,0.02,-126.08661,50.456
2023-01-08,-126.08661,50.46049,-0.06892,0.022,-126.08661,50.46049
2023-01-08,-126.08661,50.465,-0.08973,0.047,-126.08661,50.465
2023-01-08,-126.08661,50.4695,-0.17561,0.09,-126.08661,50.4695
2023-01-08,-126.08661,50.474,-0.21607,0.12,-126.08661,50.474
2023-01-08,-126.08661,50.4785,-0.30232,0.066,-126.08661,50.4785
2023-01-08,-126.08661,50.483,-0.20765,-0.021,-126.08661,50.483
2023-01-08,-126.08661,50.4875,-0.02644,-0.104,-126.08661,50.4875
2023-01-08,-126.08661,50.492,0.00988,-0.074,-126.08661,50.492
2023-01-08,-126.07849,50.4425,0.04442,0.003,-126.07849,50.4425
2023-01-08,-126.07849,50.44699,0.04351,0.015,-126.07849,50.44699
2023-01-08,-126.07849,50.4515,-0.01051,-0.013,-126.07849,50.4515
2023-01-08,-126.07849,50.456,-0.00563,-0.036,-126.07849,50.456
2023-01-08,-126.07849,50.46049,-0.08351,-0.026,-126.07849,50.46049
2023-01-08,-126.07849,50.465,-0.14497,0.029,-126.07849,50.465
2023-01-08,-126.07849,50.4695,-0.22108,0.085,-126.07849,50.4695
2023-01-08,-126.07849,50.474,-0.25782,0.116,-126.07849,50.474
2023-01-08,-126.07849,50.4785,-0.24653,0.076,-126.07849,50.4785
2023-01-08,-126.07849,50.483,-0.14021,0.012,-126.07849,50.483
2023-01-08,-126.0704,50.4425,0.04772,-0.011,-126.0704,50.4425
2023-01-08,-126.0704,50.44699,0.01677,-0.028,-126.0704,50.44699
2023-01-08,-126.0704,50.4515,0.07872,-0.025,-126.0704,50.4515
2023-01-08,-126.0704,50.456,0.04455,-0.051,-126.0704,50.456
2023-01-08,-126.0704,50.46049,-0.08625,-0.05,-126.0704,50.46049
2023-01-08,-126.0704,50.465,-0.16926,0.012,-126.0704,50.465
2023-01-08,-126.0704,50.4695,-0.28926,0.055,-126.0704,50.4695
2023-01-08,-126.0704,50.474,-0.26167,0.137,-126.0704,50.474
2023-01-08,-126.0704,50.4785,-0.1753,0.096,-126.0704,50.4785
2023-01-08,-126.0704,50.483,-0.13185,0.032,-126.0704,50.483
2023-01-08,-126.0623,50.438,0.06432,-0.027,-126.0623,50.438
2023-01-08,-126.0623,50.4425,0.13366,-0.033,-126.0623,50.4425
2023-01-08,-126.0623,50.44699,-0.03614,-0.117,-126.0623,50.44699
2023-01-08,-126.0623,50.4515,0.04436,-0.069,-126.0623,50.4515
2023-01-08,-126.0623,50.456,0.02398,-0.046,-126.0623,50.456
2023-01-08,-126.0623,50.46049,-0.07258,-0.003,-126.0623,50.46049
2023-01-08,-126.0623,50.465,-0.16658,0.015,-126.0623,50.465
2023-01-08,-126.0623,50.4695,-0.23176,0.055,-126.0623,50.4695
2023-01-08,-126.0623,50.474,-0.23988,0.104,-126.0623,50.474
2023-01-08,-126.0542,50.438,0.04461,-0.032,-126.0542,50.438
2023-01-08,-126.0542,50.4425,0.02062,0.074,-126.0542,50.4425
2023-01-08,-126.0542,50.44699,-0.01374,0.031,-126.0542,50.44699
2023-01-08,-126.0542,50.4515,-0.03657,-0.055,-126.0542,50.4515
2023-01-08,-126.0542,50.456,-0.04042,-0.008,-126.0542,50.456
2023-01-08,-126.0542,50.46049,-0.00343,0.027,-126.0542,50.46049
2023-01-08,-126.0542,50.465,-0.21351,0.04,-126.0542,50.465
2023-01-08,-126.0542,50.4695,-0.27711,0.085,-126.0542,50.4695
2023-01-08,-126.0542,50.474,-0.1941,0.066,-126.0542,50.474
2023-01-08,-126.0461,50.438,0.15716,-0.105,-126.0461,50.438
2023-01-08,-126.0461,50.4425,0.14788,-0.147,-126.0461,50.4425
2023-01-08,-126.0461,50.44699,-0.00154,-0.018,-126.0461,50.44699
2023-01-08,-126.0461,50.4515,-0.07032,0.063,-126.0461,50.4515
2023-01-08,-126.0461,50.456,-0.11006,0.1,-126.0461,50.456
2023-01-08,-126.0461,50.46049,-0.17427,0.152,-126.0461,50.46049
2023-01-08,-126.0461,50.465,-0.2508,0.183,-126.0461,50.465
2023-01-08,-126.0461,50.4695,-0.22792,0.12,-126.0461,50.4695
2023-01-08,-126.0461,50.474,-0.13887,0.062,-126.0461,50.474
2023-01-08,-126.03799,50.43349,0.09252,-0.092,-126.03799,50.43349
2023-01-08,-126.03799,50.438,0.15935,-0.072,-126.03799,50.438
2023-01-08,-126.03799,50.4425,0.06487,-0.043,-126.03799,50.4425
2023-01-08,-126.03799,50.44699,-0.11598,0.075,-126.03799,50.44699
2023-01-08,-126.03799,50.4515,-0.06501,0.194,-126.03799,50.4515
2023-01-08,-126.03799,50.456,-0.07734,0.216,-126.03799,50.456
